location_traffic_convenience             ['0.77507', '0.01255', '0.00996', '0.20242']
location_distance_from_business_district ['0.79695', '0.00558', '0.00508', '0.19239']
location_easy_to_find                    ['0.76767', '0.03787', '0.02354', '0.17092']
service_wait_time                        ['0.88346', '0.02890', '0.04173', '0.04591']
service_waiters_attitude                 ['0.40390', '0.08270', '0.11937', '0.39402']
service_parking_convenience              ['0.93596', '0.01260', '0.01387', '0.03757']
service_serving_speed                    ['0.84476', '0.05226', '0.02266', '0.08032']
price_level                              ['0.50305', '0.11786', '0.23094', '0.14815']
price_cost_effective                     ['0.76421', '0.02868', '0.02926', '0.17786']
price_discount                           ['0.61184', '0.01634', '0.17386', '0.19796']
environment_decoration                   ['0.51349', '0.02037', '0.09040', '0.37574']
environment_noise                        ['0.69948', '0.02930', '0.04612', '0.22510']
environment_space                        ['0.62284', '0.05434', '0.08821', '0.23461']
environment_cleaness                     ['0.63427', '0.04298', '0.04479', '0.27796']
dish_portion                             ['0.54207', '0.09541', '0.09053', '0.27199']
dish_taste                               ['0.04829', '0.04155', '0.38286', '0.52730']
dish_look                                ['0.72357', '0.03027', '0.04452', '0.20164']
dish_recommendation                      ['0.80730', '0.02167', '0.01893', '0.15210']
others_overall_experience                ['0.02010', '0.08937', '0.22320', '0.66733']
others_willing_to_consume_again          ['0.62476', '0.03961', '0.02774', '0.30789']
location_traffic_convenience             [81382  1318  1046 21254]
location_distance_from_business_district [83680   586   533 20201]
location_easy_to_find                    [80605  3976  2472 17947]
service_wait_time                        [92763  3034  4382  4821]
service_waiters_attitude                 [42410  8684 12534 41372]
service_parking_convenience              [98276  1323  1456  3945]
service_serving_speed                    [88700  5487  2379  8434]
price_level                              [52820 12375 24249 15556]
price_cost_effective                     [80242  3011  3072 18675]
price_discount                           [64243  1716 18255 20786]
environment_decoration                   [53916  2139  9492 39453]
environment_noise                        [73445  3077  4843 23635]
environment_space                        [65398  5706  9262 24634]
environment_cleaness                     [66598  4513  4703 29186]
dish_portion                             [56917 10018  9506 28559]
dish_taste                               [ 5070  4363 40200 55367]
dish_look                                [75975  3178  4675 21172]
dish_recommendation                      [84767  2275  1988 15970]
others_overall_experience                [ 2110  9384 23436 70070]
others_willing_to_consume_again          [65600  4159  2913 32328]
